Data;Último;Abertura;Máxima;Mínima;Var%
17/04/2017;3,0985000;3,1446000;3,1476000;3,0930000;-0,0147000
14/04/2017;3,1448000;3,1435000;3,1452000;3,1431000;0,0001000
13/04/2017;3,1444000;3,1258000;3,1498000;3,1145000;0,0060000
12/04/2017;3,1258000;3,1383000;3,1599000;3,1197000;-0,0036000
11/04/2017;3,1372000;3,1324000;3,1561000;3,1256000;0,0017000
10/04/2017;3,1320000;3,1466000;3,1509000;3,1302000;-0,0045000
07/04/2017;3,1462000;3,1429000;3,1593000;3,1183000;0,0011000
06/04/2017;3,1427000;3,1195000;3,1517000;3,1063000;0,0072000
05/04/2017;3,1203000;3,0938000;3,1261000;3,0808000;0,0085000
04/04/2017;3,0939000;3,1151000;3,1420000;3,0924000;-0,0067000
03/04/2017;3,1147000;3,1236000;3,1355000;3,1099000;-0,0028000
31/03/2017;3,1233000;3,1481000;3,1785000;3,1214000;-0,0084000
30/03/2017;3,1496000;3,1200000;3,1532000;3,1178000;0,0095000
29/03/2017;3,1199000;3,1414000;3,1421000;3,1122000;-0,0068000
28/03/2017;3,1412000;3,1269000;3,1460000;3,1233000;0,0047000
27/03/2017;3,1265000;3,1084000;3,1404000;3,1079000;0,0058000
24/03/2017;3,1086000;3,1404000;3,1515000;3,1048000;-0,0098000
23/03/2017;3,1395000;3,0873000;3,1456000;3,0873000;0,0167000
22/03/2017;3,0880000;3,0888000;3,1102000;3,0808000;-0,0001000
21/03/2017;3,0884000;3,0724000;3,0951000;3,0600000;0,0051000
20/03/2017;3,0726000;3,0920000;3,1160000;3,0673000;-0,0062000
17/03/2017;3,0918000;3,1191000;3,1282000;3,0875000;-0,0086000
16/03/2017;3,1185000;3,1031000;3,1233000;3,0925000;0,0048000
15/03/2017;3,1037000;3,1680000;3,1778000;3,0972000;-0,0205000
14/03/2017;3,1685000;3,1521000;3,1824000;3,1501000;0,0049000
13/03/2017;3,1530000;3,1387000;3,1606000;3,1292000;0,0043000
10/03/2017;3,1395000;3,1942000;3,1966000;3,1392000;-0,0168000
09/03/2017;3,1932000;3,1627000;3,1984000;3,1599000;0,0095000
08/03/2017;3,1631000;3,1200000;3,1812000;3,1197000;0,0140000
07/03/2017;3,1195000;3,1391000;3,1412000;3,1119000;-0,0061000
06/03/2017;3,1386000;3,1146000;3,1394000;3,1000000;0,0073000
03/03/2017;3,1158000;3,1573000;3,1633000;3,1120000;-0,0129000
02/03/2017;3,1565000;3,0895000;3,1590000;3,0895000;0,0215000
01/03/2017;3,0900000;3,1095000;3,1238000;3,0900000;-0,0061000
28/02/2017;3,1091000;3,1090000;3,1091000;3,1090000;0,0000000
27/02/2017;3,1090000;3,1105000;3,1105000;3,1085000;-0,0006000
24/02/2017;3,1110000;3,0622000;3,1195000;3,0600000;0,0168000
23/02/2017;3,0595000;3,0635000;3,0796000;3,0519000;-0,0015000
22/02/2017;3,0640000;3,0960000;3,0989000;3,0604000;-0,0100000
21/02/2017;3,0951000;3,0862000;3,1083000;3,0848000;0,0026000
20/02/2017;3,0870000;3,1019000;3,1074000;3,0826000;-0,0057000
17/02/2017;3,1048000;3,0871000;3,1099000;3,0796000;0,0050000
16/02/2017;3,0892000;3,0568000;3,0905000;3,0387000;0,0104000
